,train,val,test
156,gocbOa_Annotation2,,
157,HWVxb2_Annotation1,,
158,HWVxb2_Annotation2,,
159,i0x1Yw_Annotation0,,
160,iLujYN_Annotation0,,
161,iLujYN_Annotation1,,
162,iLujYN_Annotation2,,
163,iLujYN_Annotation3,,
164,k2dEAy_Annotation0,,
165,k2dEAy_Annotation1,,
166,k7AVJp_Annotation0,,
167,90G12W_Annotation0,,
168,k7AVJp_Annotation1,,
169,mfT7JA_Annotation0,,
170,mfT7JA_Annotation1,,
171,oA7BpV_Annotation0,,
172,utPRO6_Annotation0,,
173,utPRO6_Annotation1,,
174,W2dQEh_Annotation1,,
175,XW2bYV_Annotation0,,
176,YbNhWS_Annotation1,,
177,YxRM16_Annotation1,,
178,ZEa8xJ_Annotation0,,
179,ZEa8xJ_Annotation1,,
180,cvQ0pB_Annotation3,,
181,3KbrNI_Annotation0,,
182,3KbrNI_Annotation1,,
183,3mBlV0_Annotation0,,
184,3mBlV0_Annotation1,,
185,9EmdcO_Annotation0,,
186,9EmdcO_Annotation1,,
187,9EmdcO_Annotation2,,
188,9EmdcO_Annotation3,,
189,9EmdcO_Annotation4,,
190,COTaNd_Annotation0,,
191,cUM1B6_Annotation0,,
192,cvQ0pB_Annotation0,,
193,cvQ0pB_Annotation1,,
194,cvQ0pB_Annotation2,,
195,dMuni0_Annotation0,,
196,dMuni0_Annotation1,,
197,DsYoJN_Annotation0,,
198,DsYoJN_Annotation1,,
199,fyu95S_Annotation0,,
200,fyu95S_Annotation1,,
201,gfmsYU_Annotation0,,
202,gfmsYU_Annotation1,,
203,gfmsYU_Annotation3,,
204,I2rQnw_Annotation0,,
205,iDaZ0k_Annotation0,,
206,ILrv2X_Annotation0,,
207,In8Sq1_Annotation0,,
208,In8Sq1_Annotation1,,
209,LJ2oh9_Annotation1,,
210,LJ2oh9_Annotation2,,
211,LJ2oh9_Annotation3,,
212,OWUqoi_Annotation0,,
213,OWUqoi_Annotation1,,
214,OWUqoi_Annotation2,,
215,OWUqoi_Annotation3,,
216,oxc1Ep_Annotation0,,
217,oxc1Ep_Annotation1,,
218,oxc1Ep_Annotation2,,
219,oxc1Ep_Annotation3,,
220,PGyYKA_Annotation0,,
221,Q1fFSt_Annotation1,,
222,Q1fFSt_Annotation3,,
223,shXJel_Annotation0,,
224,uCFSwz_Annotation0,,
225,uCFSwz_Annotation1,,
226,VUpzLm_Annotation0,,
227,VUpzLm_Annotation1,,
228,XgJ2WQ_Annotation0,,
229,XMK1pe_Annotation0,,
230,XMK1pe_Annotation1,,
231,XMK1pe_Annotation2,,
232,XMK1pe_Annotation3,,
233,4YkgEn,,
234,NhuO23,,
235,7WSmJO,,
236,qpRQun,,
237,FsPQEn,,
238,HRolf8,,
239,TNoPDe_Annotation4,,
240,QHp8qx_Annotation0,,
241,sjNL2v_Annotation2,,
242,sjNL2v_Annotation0,,
243,gQ9GVs_Annotation2,,
244,BOq25i_Annotation0,,
245,p6NHOy_Annotation0,,
246,vKMWGS_Annotation0,,
247,k1F4rf_Annotation1,,
248,aYrFpJ_Annotation0,,
249,ONGwY0_Annotation1,,
250,bwpTxS_Annotation2,,
251,GKPBox_Annotation1,,
252,mfT7JA_Annotation2,,
253,A9bd2s_Annotation2,,
254,8Yev5y_Annotation0,,
255,R95Ffo_Annotation0,,
256,4bOMq6_Annotation1,,
257,oZPnQs_Annotation0,,
258,j1xW68_Annotation1,,
259,LJ2oh9_Annotation0,,
260,j1xW68_Annotation0,,
261,GiN49j,,
262,nk0S5Z,,
263,FuCdb9,,
264,JGLV34,,
265,Q8Bnb0,,
266,Gwpv0C,,
267,k2vKOR_Annotation0,,
268,TNoPDe_Annotation0,,
269,0EtQnY_Annotation1,,
270,TNoPDe_Annotation5,,
271,E7Fdk3_Annotation3,,
272,lOeQc6_Annotation2,,
273,qH1GYN_Annotation1,,
274,lOeQc6_Annotation0,,
275,7hsLmf_Annotation1,,
276,bCG3TP_Annotation0,,
277,mprY6z_Annotation2,,
278,4NlObP_Annotation2,,
279,W2dQEh_Annotation0,,
280,YxRM16_Annotation0,,
281,HWVxb2_Annotation0,,
282,YbNhWS_Annotation0,,
283,Q1fFSt_Annotation0,,
284,gqwJQM_Annotation0,,
285,4bOMq6_Annotation0,,
286,ILrv2X_Annotation1,,
287,shXJel_Annotation1,,
288,oBZXwc_Annotation0,,
