,train,val,test
56,E7Fdk3_Annotation0,,
57,E7Fdk3_Annotation3,,
58,FaZrEM_Annotation0,,
59,gQ9GVs_Annotation0,,
60,gQ9GVs_Annotation1,,
61,gQ9GVs_Annotation2,,
62,gQ9GVs_Annotation3,,
63,j4tpoY_Annotation0,,
64,k2vKOR_Annotation0,,
65,k2vKOR_Annotation1,,
66,ned6fL_Annotation0,,
67,ned6fL_Annotation1,,
68,ned6fL_Annotation2,,
69,QHp8qx_Annotation0,,
70,sjNL2v_Annotation0,,
71,sjNL2v_Annotation1,,
72,sjNL2v_Annotation2,,
73,sjNL2v_Annotation3,,
74,sjNL2v_Annotation5,,
75,sjNL2v_Annotation6,,
76,sjNL2v_Annotation7,,
77,sjNL2v_Annotation8,,
78,sjNL2v_Annotation9,,
79,SlkhJD_Annotation0,,
80,SlkhJD_Annotation1,,
81,SlkhJD_Annotation2,,
82,TNoPDe_Annotation0,,
83,TNoPDe_Annotation1,,
84,TNoPDe_Annotation4,,
85,TNoPDe_Annotation6,,
86,v3bgUf_Annotation1,,
87,v3bgUf_Annotation2,,
88,zUVJpv_Annotation0,,
89,zUVJpv_Annotation1,,
90,mprY6z_Annotation3,,
91,0mLlB3_Annotation0,,
92,0mLlB3_Annotation1,,
93,7hsLmf_Annotation0,,
94,7hsLmf_Annotation1,,
95,7syaIe_Annotation0,,
96,7syaIe_Annotation1,,
97,aYrFpJ_Annotation0,,
98,bCG3TP_Annotation0,,
99,bCG3TP_Annotation1,,
100,bCG3TP_Annotation2,,
101,BOq25i_Annotation0,,
102,Epg8fC_Annotation0,,
103,Epg8fC_Annotation1,,
104,IxbDhm_Annotation0,,
105,jS9TPt_Annotation0,,
106,jS9TPt_Annotation1,,
107,jS9TPt_Annotation2,,
108,jS9TPt_Annotation3,,
109,k1F4rf_Annotation0,,
110,k1F4rf_Annotation3,,
111,lOeQc6_Annotation2,,
112,lOeQc6_Annotation3,,
113,mprY6z_Annotation0,,
114,mprY6z_Annotation1,,
115,mprY6z_Annotation2,,
116,mprY6z_Annotation4,,
117,NxCwHc_Annotation0,,
118,NxCwHc_Annotation1,,
119,NxCwHc_Annotation3,,
120,ONGwY0_Annotation0,,
121,ONGwY0_Annotation1,,
122,p6NHOy_Annotation0,,
123,qH1GYN_Annotation0,,
124,qH1GYN_Annotation1,,
125,qH1GYN_Annotation2,,
126,qH1GYN_Annotation3,,
127,sftB1x_Annotation0,,
128,vKMWGS_Annotation0,,
129,vKMWGS_Annotation1,,
130,w4T7Al_Annotation0,,
131,X9q3Eh_Annotation0,,
132,Yhd7Ra_Annotation0,,
133,ZsE0Rr_Annotation0,,
134,ZsE0Rr_Annotation1,,
135,ZSVMWI_Annotation0,,
136,ZSVMWI_Annotation1,,
137,4NlObP_Annotation0,,
138,4NlObP_Annotation1,,
139,4NlObP_Annotation2,,
140,8qeF2g_Annotation1,,
141,8Yev5y_Annotation0,,
142,A9bd2s_Annotation1,,
143,A9bd2s_Annotation2,,
144,ANnzHR_Annotation0,,
145,ANnzHR_Annotation1,,
146,Au0o8g_Annotation0,,
147,Au0o8g_Annotation1,,
148,bwpTxS_Annotation0,,
149,bwpTxS_Annotation1,,
150,bwpTxS_Annotation2,,
151,Ct2I6N_Annotation0,,
152,FovBwE_Annotation1,,
153,GKPBox_Annotation0,,
154,GKPBox_Annotation1,,
155,gocbOa_Annotation0,,
156,gocbOa_Annotation1,,
157,gocbOa_Annotation2,,
158,HWVxb2_Annotation1,,
159,HWVxb2_Annotation2,,
160,i0x1Yw_Annotation0,,
161,iLujYN_Annotation0,,
162,iLujYN_Annotation2,,
163,k2dEAy_Annotation0,,
164,k7AVJp_Annotation0,,
165,90G12W_Annotation0,,
166,HWVxb2_Annotation0,,
167,k7AVJp_Annotation1,,
168,mfT7JA_Annotation2,,
169,oA7BpV_Annotation0,,
170,utPRO6_Annotation0,,
171,utPRO6_Annotation1,,
172,W2dQEh_Annotation0,,
173,W2dQEh_Annotation1,,
174,XW2bYV_Annotation0,,
175,YbNhWS_Annotation0,,
176,YbNhWS_Annotation1,,
177,YxRM16_Annotation0,,
178,YxRM16_Annotation1,,
179,ZEa8xJ_Annotation0,,
180,ZEa8xJ_Annotation1,,
181,cvQ0pB_Annotation3,,
182,j1xW68_Annotation0,,
183,3KbrNI_Annotation0,,
184,3mBlV0_Annotation0,,
185,4bOMq6_Annotation0,,
186,4bOMq6_Annotation1,,
187,9EmdcO_Annotation0,,
188,9EmdcO_Annotation2,,
189,9EmdcO_Annotation3,,
190,9EmdcO_Annotation4,,
191,COTaNd_Annotation0,,
192,cvQ0pB_Annotation0,,
193,cvQ0pB_Annotation1,,
194,cvQ0pB_Annotation2,,
195,dMuni0_Annotation0,,
196,dMuni0_Annotation1,,
197,DsYoJN_Annotation0,,
198,DsYoJN_Annotation1,,
199,fyu95S_Annotation0,,
200,gfmsYU_Annotation0,,
201,gfmsYU_Annotation3,,
202,gqwJQM_Annotation0,,
203,I2rQnw_Annotation0,,
204,iDaZ0k_Annotation0,,
205,ILrv2X_Annotation1,,
206,In8Sq1_Annotation1,,
207,j1xW68_Annotation1,,
208,LJ2oh9_Annotation0,,
209,LJ2oh9_Annotation1,,
210,LJ2oh9_Annotation2,,
211,LJ2oh9_Annotation3,,
212,oBZXwc_Annotation0,,
213,OWUqoi_Annotation0,,
214,OWUqoi_Annotation1,,
215,OWUqoi_Annotation2,,
216,oxc1Ep_Annotation0,,
217,oxc1Ep_Annotation1,,
218,oxc1Ep_Annotation2,,
219,oxc1Ep_Annotation3,,
220,oZPnQs_Annotation0,,
221,PGyYKA_Annotation0,,
222,Q1fFSt_Annotation0,,
223,Q1fFSt_Annotation1,,
224,shXJel_Annotation0,,
225,shXJel_Annotation1,,
226,uCFSwz_Annotation0,,
227,uCFSwz_Annotation1,,
228,VUpzLm_Annotation0,,
229,VUpzLm_Annotation1,,
230,XgJ2WQ_Annotation0,,
231,XMK1pe_Annotation0,,
232,XMK1pe_Annotation1,,
233,XMK1pe_Annotation3,,
