,train,val,test
47,sjNL2v_Annotation4,,
48,0EtQnY_Annotation0,,
49,0EtQnY_Annotation1,,
50,0EtQnY_Annotation3,,
51,4RvIGs_Annotation0,,
52,4RvIGs_Annotation1,,
53,4RvIGs_Annotation2,,
54,bkZz45_Annotation0,,
55,bkZz45_Annotation1,,
56,E7Fdk3_Annotation1,,
57,E7Fdk3_Annotation2,,
58,E7Fdk3_Annotation3,,
59,E7Fdk3_Annotation4,,
60,gQ9GVs_Annotation0,,
61,gQ9GVs_Annotation1,,
62,gQ9GVs_Annotation2,,
63,gQ9GVs_Annotation3,,
64,j4tpoY_Annotation0,,
65,k2vKOR_Annotation0,,
66,k2vKOR_Annotation1,,
67,ned6fL_Annotation0,,
68,ned6fL_Annotation1,,
69,ned6fL_Annotation2,,
70,QHp8qx_Annotation0,,
71,sjNL2v_Annotation2,,
72,sjNL2v_Annotation3,,
73,sjNL2v_Annotation5,,
74,sjNL2v_Annotation6,,
75,sjNL2v_Annotation8,,
76,sjNL2v_Annotation9,,
77,SlkhJD_Annotation0,,
78,SlkhJD_Annotation1,,
79,SlkhJD_Annotation2,,
80,TNoPDe_Annotation0,,
81,TNoPDe_Annotation1,,
82,TNoPDe_Annotation4,,
83,TNoPDe_Annotation5,,
84,TNoPDe_Annotation6,,
85,v3bgUf_Annotation0,,
86,v3bgUf_Annotation1,,
87,v3bgUf_Annotation2,,
88,v3bgUf_Annotation3,,
89,zUVJpv_Annotation1,,
90,0mLlB3_Annotation0,,
91,0mLlB3_Annotation1,,
92,0mLlB3_Annotation2,,
93,7hsLmf_Annotation0,,
94,7hsLmf_Annotation1,,
95,7syaIe_Annotation0,,
96,7syaIe_Annotation1,,
97,aYrFpJ_Annotation0,,
98,bCG3TP_Annotation0,,
99,bCG3TP_Annotation1,,
100,bCG3TP_Annotation2,,
101,BOq25i_Annotation0,,
102,Epg8fC_Annotation0,,
103,Epg8fC_Annotation1,,
104,IxbDhm_Annotation0,,
105,jE54pD_Annotation1,,
106,jS9TPt_Annotation0,,
107,jS9TPt_Annotation2,,
108,jS9TPt_Annotation3,,
109,k1F4rf_Annotation0,,
110,k1F4rf_Annotation2,,
111,k1F4rf_Annotation3,,
112,lOeQc6_Annotation1,,
113,lOeQc6_Annotation2,,
114,lOeQc6_Annotation3,,
115,mprY6z_Annotation0,,
116,mprY6z_Annotation1,,
117,mprY6z_Annotation2,,
118,mprY6z_Annotation4,,
119,mzwqO8_Annotation0,,
120,NxCwHc_Annotation0,,
121,NxCwHc_Annotation1,,
122,NxCwHc_Annotation2,,
123,ONGwY0_Annotation0,,
124,ONGwY0_Annotation1,,
125,p6NHOy_Annotation0,,
126,qH1GYN_Annotation1,,
127,qH1GYN_Annotation2,,
128,sftB1x_Annotation0,,
129,vKMWGS_Annotation1,,
130,w4T7Al_Annotation1,,
131,X9q3Eh_Annotation0,,
132,X9q3Eh_Annotation1,,
133,Yhd7Ra_Annotation0,,
134,ZsE0Rr_Annotation0,,
135,ZsE0Rr_Annotation1,,
136,ZSVMWI_Annotation1,,
137,4NlObP_Annotation0,,
138,4NlObP_Annotation1,,
139,4NlObP_Annotation2,,
140,8qeF2g_Annotation0,,
141,8qeF2g_Annotation1,,
142,8qeF2g_Annotation2,,
143,8Yev5y_Annotation0,,
144,90G12W_Annotation1,,
145,A9bd2s_Annotation0,,
146,A9bd2s_Annotation1,,
147,A9bd2s_Annotation2,,
148,ANnzHR_Annotation0,,
149,ANnzHR_Annotation1,,
150,Au0o8g_Annotation0,,
151,Au0o8g_Annotation1,,
152,bwpTxS_Annotation1,,
153,bwpTxS_Annotation2,,
154,FovBwE_Annotation0,,
155,FovBwE_Annotation1,,
156,GKPBox_Annotation0,,
157,GKPBox_Annotation1,,
158,gocbOa_Annotation1,,
159,gocbOa_Annotation2,,
160,HWVxb2_Annotation2,,
161,i0x1Yw_Annotation0,,
162,iLujYN_Annotation0,,
163,iLujYN_Annotation1,,
164,iLujYN_Annotation3,,
165,k2dEAy_Annotation0,,
166,k2dEAy_Annotation1,,
167,HWVxb2_Annotation0,,
168,k7AVJp_Annotation1,,
169,mfT7JA_Annotation0,,
170,mfT7JA_Annotation1,,
171,mfT7JA_Annotation2,,
172,oA7BpV_Annotation0,,
173,utPRO6_Annotation0,,
174,utPRO6_Annotation1,,
175,XW2bYV_Annotation0,,
176,YbNhWS_Annotation0,,
177,YbNhWS_Annotation1,,
178,YxRM16_Annotation0,,
179,ZEa8xJ_Annotation0,,
180,ZEa8xJ_Annotation1,,
181,cvQ0pB_Annotation3,,
182,j1xW68_Annotation0,,
183,3KbrNI_Annotation0,,
184,3KbrNI_Annotation1,,
185,3mBlV0_Annotation0,,
186,3mBlV0_Annotation1,,
187,4bOMq6_Annotation1,,
188,9EmdcO_Annotation0,,
189,9EmdcO_Annotation1,,
190,9EmdcO_Annotation2,,
191,9EmdcO_Annotation3,,
192,9EmdcO_Annotation4,,
193,COTaNd_Annotation0,,
194,cvQ0pB_Annotation0,,
195,cvQ0pB_Annotation1,,
196,cvQ0pB_Annotation2,,
197,dMuni0_Annotation1,,
198,DsYoJN_Annotation0,,
199,DsYoJN_Annotation1,,
200,fyu95S_Annotation0,,
201,fyu95S_Annotation1,,
202,gfmsYU_Annotation0,,
203,gfmsYU_Annotation1,,
204,gfmsYU_Annotation3,,
205,gqwJQM_Annotation0,,
206,I2rQnw_Annotation0,,
207,iDaZ0k_Annotation0,,
208,ILrv2X_Annotation0,,
209,In8Sq1_Annotation0,,
210,In8Sq1_Annotation1,,
211,j1xW68_Annotation1,,
212,LJ2oh9_Annotation1,,
213,LJ2oh9_Annotation2,,
214,oBZXwc_Annotation0,,
215,OWUqoi_Annotation0,,
216,OWUqoi_Annotation1,,
217,OWUqoi_Annotation2,,
218,oxc1Ep_Annotation0,,
219,oxc1Ep_Annotation3,,
220,oZPnQs_Annotation0,,
221,PGyYKA_Annotation0,,
222,Q1fFSt_Annotation0,,
223,R95Ffo_Annotation0,,
224,shXJel_Annotation1,,
225,uCFSwz_Annotation0,,
226,uCFSwz_Annotation1,,
227,VUpzLm_Annotation0,,
228,VUpzLm_Annotation1,,
229,XgJ2WQ_Annotation0,,
230,XMK1pe_Annotation0,,
231,XMK1pe_Annotation1,,
232,XMK1pe_Annotation2,,
233,XMK1pe_Annotation3,,
